,DATAHORA,ORDEM,LINHA,LATITUDE,LONGITUDE,VELOCIDADE
81,2019-03-17 04:18:31,A29178,471.0,-22.868219,-43.29253,0.0
82,2019-03-17 04:19:47,B44631,685.0,-22.862169,-43.355431,36.0
83,2019-03-17 04:26:40,A29040,,-22.86821,-43.292561,0.0
84,2019-03-17 04:28:29,B32713,779.0,-22.816389,-43.394341,0.0
85,2019-03-17 04:30:54,B32722,779.0,-22.815941,-43.3946,0.0
86,2019-03-17 04:35:10,B31057,,-22.805999999999997,-43.30835,31.0
87,2019-03-17 04:42:18,A27622,433.0,-22.920289999999998,-43.255829,9.0
88,2019-03-17 04:43:33,D86285,,-22.8563,-43.493351000000004,5.0
89,2019-03-17 04:45:40,A29065,SV474,-22.867941000000002,-43.291809,0.0
90,2019-03-17 04:47:06,D86108,916.0,-22.906931,-43.57394,0.0
91,2019-03-17 04:55:19,A29050,,-22.86812,-43.292320000000004,0.0
92,2019-03-17 04:56:09,D53642,759.0,-22.883789,-43.495499,0.0
93,2019-03-17 04:59:18,B42662,,-22.8764,-43.329498,0.0
94,2019-03-17 05:00:57,B32551,342.0,-22.81599,-43.394711,0.0
95,2019-03-17 05:01:05,A27647,432.0,-22.920561,-43.25634,0.0
96,2019-03-17 05:02:36,A29005,471.0,-22.86834,-43.290981,0.0
97,2019-03-17 05:08:15,C13065,878.0,-22.878241,-43.491982,0.0
98,2019-03-17 05:14:47,D53559,17.0,-22.88406,-43.495861,0.0
99,2019-03-17 05:24:16,D53591,,-22.88413,-43.495899,0.0
100,2019-03-17 05:26:29,A29136,,-22.868299,-43.290871,0.0
101,2019-03-17 05:30:52,D53590,,-22.883671,-43.49596,0.0
102,2019-03-17 05:31:23,D53631,,-22.88402,-43.495490999999994,0.0
103,2019-03-17 05:34:09,B42517,,-22.876499,-43.329571,1.0
104,2019-03-17 05:35:30,D13147,394.0,-22.87653,-43.419521,0.0
105,2019-03-17 05:35:41,D53669,,-22.883948999999998,-43.495499,0.0
106,2019-03-17 05:35:43,D53628,786.0,-22.88188,-43.497231,25.0
107,2019-03-17 05:37:28,A29106,,-22.868719,-43.291451,0.0
108,2019-03-17 05:40:17,D53589,,-22.884411,-43.49456,0.0
109,2019-03-17 05:40:18,D53633,,-22.883841,-43.495971999999995,0.0
110,2019-03-17 05:46:37,D53654,,-22.883921,-43.495789,0.0
111,2019-03-17 05:49:12,A27551,,-22.92009,-43.256081,0.0
112,2019-03-17 05:51:53,C13048,878.0,-22.878349,-43.492401,21.0
113,2019-03-17 05:52:49,B44602,721.0,-22.8496,-43.323291999999995,0.0
114,2019-03-17 05:53:29,D53582,,-22.88402,-43.495789,0.0
115,2019-03-17 05:57:00,D17016,,-22.917479999999998,-43.607738,0.0
116,2019-03-17 05:58:00,D53585,,-22.883631,-43.495991,0.0
117,2019-03-17 05:58:23,D53644,,-22.88382,-43.495831,0.0
118,2019-03-17 06:03:33,D53641,,-22.883689999999998,-43.495609,0.0
119,2019-03-17 06:06:01,B58098,628.0,-22.689320000000002,-43.471809,17.0
120,2019-03-17 06:08:05,D53638,759.0,-22.884251000000003,-43.495461,0.0
121,2019-03-17 06:08:36,D53655,,-22.88419,-43.495391999999995,0.0
122,2019-03-17 06:14:21,A29019,473.0,-22.86828,-43.293362,0.0
123,2019-03-17 06:16:58,D12132,,-22.849609,-43.767109000000005,0.0
124,2019-03-17 06:18:26,C30215,,-22.94696,-43.360519000000004,0.0
125,2019-03-17 06:22:59,B28545,325.0,-22.81493,-43.188431,0.0
126,2019-03-17 06:36:43,D12102,2303.0,-22.89884,-43.209961,0.0
127,2019-03-17 06:37:51,D86193,835.0,-22.9016,-43.555611,0.0
128,2019-03-17 06:38:37,A29117,,-22.86833,-43.29203,0.0
129,2019-03-17 06:39:17,C47602,,-23.01988,-43.48299,6.0
130,2019-03-17 06:40:48,B10506,,-22.868219,-43.256989000000004,0.0
131,2019-03-17 06:42:53,A29009,,-22.868299,-43.291512,0.0
132,2019-03-17 06:42:57,B63081,,-22.792629,-43.294369,0.0
133,2019-03-17 06:43:19,D17067,,-22.918429999999997,-43.607101,0.0
134,2019-03-17 06:44:37,B63085,,-22.86727,-43.258629,0.0
135,2019-03-17 06:45:00,B71047,247.0,-22.889175,-43.291973,0.0
136,2019-03-17 06:45:42,B42540,,-22.876539,-43.330471,0.0
137,2019-03-17 06:46:21,C47637,863.0,-22.95516,-43.337928999999995,7.0
138,2019-03-17 06:51:24,D17064,,-22.918341,-43.60812,0.0
139,2019-03-17 06:53:50,C47721,,-22.98311,-43.3316,41.0
140,2019-03-17 06:58:18,D17147,,-22.91913,-43.607109,0.0
