fmun_cod;fmun;vano;mes;mes_ano;regiao;hom_doloso;lesao_corp_morte;latrocinio;hom_por_interv_policial;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_comercio;roubo_residencia;roubo_veiculo;roubo_carga;roubo_transeunte;roubo_em_coletivo;roubo_banco;roubo_cx_eletronico;roubo_celular;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;total_roubos;furto_veiculos;furto_bicicleta;furto_transeunte;furto_coletivo;furto_celular;outros_furtos;total_furtos;sequestro;extorsao;sequestro_relampago;estelionato;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;apreensao_drogas;recuperacao_veiculos;apf;aaapai;cmp;cmba;ameaca;pessoas_desaparecidas;encontro_cadaver;encontro_ossada;pol_militares_mortos_serv;pol_civis_mortos_serv;pol_militares_mortos_folga;pol_civis_mortos_folga;indicador_letalidade;indicador_roubo_rua;indicador_roubo_veic;registro_ocorrencias;fase
3300100;Angra dos Reis;2014;1;2014m1;Interior;11;0;0;1;2;96;7;4;37;4;0;8;0;5;1;0;0;1;0;0;0;5;23;18;0;3;3;11;98;134;0;0;0;21;18;12;5;35;9;28;6;8;0;98;13;3;0;0;0;0;0;12;7;8;561;3
3300159;Aperibé;2014;1;2014m1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
3300209;Araruama;2014;1;2014m1;Interior;2;0;0;0;6;69;7;1;45;3;2;9;0;6;0;0;0;1;0;0;0;2;23;16;0;2;1;10;76;105;0;2;0;18;9;4;1;13;4;34;5;5;0;91;10;1;0;0;0;0;0;2;7;9;480;3
3300225;Areal;2014;1;2014m1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
3300233;Armação dos Búzios;2014;1;2014m1;Interior;2;0;0;0;0;44;6;0;26;0;0;2;0;5;0;0;0;1;0;0;0;20;12;9;0;9;2;7;74;117;0;0;0;4;6;10;2;16;2;26;8;3;2;46;0;0;0;0;0;0;0;2;6;2;309;3
3300258;Arraial do Cabo;2014;1;2014m1;Interior;0;0;0;0;0;32;2;0;6;0;0;2;0;1;0;0;0;0;0;0;0;6;6;3;0;3;0;1;39;49;0;0;0;8;4;10;1;15;2;7;1;1;0;26;0;0;0;0;0;0;0;0;1;2;176;3
3300308;Barra do Piraí;2014;1;2014m1;Interior;1;0;0;0;3;52;5;0;7;1;0;1;1;2;0;0;0;0;0;0;0;2;7;5;0;0;1;5;27;38;0;0;0;4;7;5;1;12;2;19;3;19;0;56;0;0;0;0;0;0;0;1;2;1;248;3
3300407;Barra Mansa;2014;1;2014m1;Interior;5;0;0;0;6;62;4;0;18;9;1;4;0;3;0;0;0;0;0;0;0;1;18;20;0;4;0;11;87;122;0;0;0;5;8;10;1;19;11;28;1;25;0;54;2;1;0;0;0;0;0;5;3;4;430;3
3300456;Belford Roxo;2014;1;2014m1;Baixada Fluminense;29;0;0;0;7;256;11;2;45;10;2;73;23;173;8;0;0;1;0;3;0;14;307;27;0;18;3;10;112;170;0;2;0;29;2;29;4;35;91;64;15;16;0;231;22;3;0;0;0;0;0;29;182;73;1367;3
3300506;Bom Jardim;2014;1;2014m1;Interior;0;0;0;0;0;7;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;2;2;1;0;0;1;0;6;9;0;0;0;3;2;2;0;4;0;1;0;3;1;11;1;0;0;0;0;0;0;0;0;0;59;3
